feature,importance
execution_price,0.38940010937602704
side_norm,0.22538795240038348
size_tokens,0.10047401483029345
sentiment_num_lag7,0.08384541532202774
day_of_week,0.07012119579736388
notional,0.0698687817902601
sentiment_num_lag1,0.03273527688874283
sentiment_num,0.028167253594901458
